Age,Cabin,Embarked,Fare,Name,Parch,PassengerId,Pclass,Sex,SibSp,Survived,Ticket,FamilySize,Title
22,,0,7.25,"Braund, Mr. Owen Harris",0,1,3,0,1,0,A/5 21171,2,1
38,C85,1,71.2833,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,2,1,1,1,1,PC 17599,2,3
26,,0,7.925,"Heikkinen, Miss. Laina",0,3,3,1,0,1,STON/O2. 3101282,1,2
35,C123,0,53.1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,4,1,1,1,1,113803,2,3
35,,0,8.05,"Allen, Mr. William Henry",0,5,3,0,0,0,373450,1,1
32.25215146,,2,8.4583,"Moran, Mr. James",0,6,3,0,0,0,330877,1,1
54,E46,0,51.8625,"McCarthy, Mr. Timothy J",0,7,1,0,0,0,17463,1,1
2,,0,21.075,"Palsson, Master. Gosta Leonard",1,8,3,0,3,0,349909,5,4
27,,0,11.1333,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",2,9,3,1,0,1,347742,3,3
14,,1,30.0708,"Nasser, Mrs. Nicholas (Adele Achem)",0,10,2,1,1,1,237736,2,3
4,G6,0,16.7,"Sandstrom, Miss. Marguerite Rut",1,11,3,1,1,1,PP 9549,3,2
58,C103,0,26.55,"Bonnell, Miss. Elizabeth",0,12,1,1,0,1,113783,1,2
20,,0,8.05,"Saundercock, Mr. William Henry",0,13,3,0,0,0,A/5. 2151,1,1
39,,0,31.275,"Andersson, Mr. Anders Johan",5,14,3,0,1,0,347082,7,1
14,,0,7.8542,"Vestrom, Miss. Hulda Amanda Adolfina",0,15,3,1,0,0,350406,1,2
55,,0,16,"Hewlett, Mrs. (Mary D Kingcome) ",0,16,2,1,0,1,248706,1,3
2,,2,29.125,"Rice, Master. Eugene",1,17,3,0,4,0,382652,6,4
32.25215146,,0,13,"Williams, Mr. Charles Eugene",0,18,2,0,0,1,244373,1,1
31,,0,18,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,19,3,1,1,0,345763,2,3
36.99411765,,1,7.225,"Masselmani, Mrs. Fatima",0,20,3,1,0,1,2649,1,3
35,,0,26,"Fynney, Mr. Joseph J",0,21,2,0,0,0,239865,1,1
34,D56,0,13,"Beesley, Mr. Lawrence",0,22,2,0,0,1,248698,1,1
